NoForm;city;NSE;p5;p6;p7;p16;p17_a;p17_b;p17_c;p17_d;p17_e;p17_f;p17_g;p18;P19;p22_a;p22_b;p22_c;p26
1261;Bogota;Bajo;Femenino;Modalité n° 39;2 Secundaria;p16_PNOR=5_muypos;p17a_ACL=4_s;p17b_FACL=4_s;p17c_ABAC=3_cs;p17d_FACC=4_s;p17e_AMAC=4_s;p17f_OLCC=2_cn;p17g_OLCM=3_cs;p18_AML=1_no;p19_LEY=1_obpocos;p22a_ACPAR=3_s;p22b_ACLYV=3_s;p22c_ACOVC=3_s;p26_ARMA=4_desac
1735;Bogota;Bajo;Masculino;Modalité n° 47;2 Secundaria;p16_PNOR=4_posi;p17a_ACL=4_s;p17b_FACL=4_s;p17c_ABAC=1_n;p17d_FACC=4_s;p17e_AMAC=4_s;p17f_OLCC=4_s;p17g_OLCM=4_s;p18_AML=2_si;p19_LEY=2_voluncol;p22a_ACPAR=3_s;p22b_ACLYV=3_s;p22c_ACOVC=3_s;p26_ARMA=5_comdesac
1962;Bogota;Medio;Femenino;Modalité n° 29;2 Secundaria;p16_PNOR=4_posi;p17a_ACL=4_s;p17b_FACL=4_s;p17c_ABAC=4_s;p17d_FACC=4_s;p17e_AMAC=4_s;p17f_OLCC=4_s;p17g_OLCM=4_s;p18_AML=2_si;p19_LEY=2_voluncol;p22a_ACPAR=3_s;p22b_ACLYV=3_s;p22c_ACOVC=2_av;p26_ARMA=5_comdesac
2086;Bogota;Medio;Masculino;Modalité n° 16;2 Secundaria;p16_PNOR=5_muypos;p17a_ACL=4_s;p17b_FACL=4_s;p17c_ABAC=4_s;p17d_FACC=4_s;p17e_AMAC=4_s;p17f_OLCC=4_s;p17g_OLCM=4_s;p18_AML=2_si;p19_LEY=1_obpocos;p22a_ACPAR=3_s;p22b_ACLYV=3_s;p22c_ACOVC=3_s;p26_ARMA=5_comdesac
2108;Bogota;Medio;Femenino;Modalité n° 44;2 Secundaria;p16_PNOR=4_posi;p17a_ACL=1_n;p17b_FACL=2_cn;p17c_ABAC=4_s;p17d_FACC=4_s;p17e_AMAC=4_s;p17f_OLCC=4_s;p17g_OLCM=4_s;p18_AML=2_si;p19_LEY=2_voluncol;p22a_ACPAR=2_av;p22b_ACLYV=2_av;p22c_ACOVC=2_av;p26_ARMA=4_desac
2149;Bogota;Medio;Masculino;Modalité n° 30;2 Secundaria;p16_PNOR=4_posi;p17a_ACL=4_s;p17b_FACL=4_s;p17c_ABAC=4_s;p17d_FACC=4_s;p17e_AMAC=4_s;p17f_OLCC=4_s;p17g_OLCM=4_s;p18_AML=2_si;p19_LEY=1_obpocos;p22a_ACPAR=3_s;p22b_ACLYV=3_s;p22c_ACOVC=2_av;p26_ARMA=4_desac
2159;Bogota;Medio;Masculino;Modalité n° 25;2 Secundaria;p16_PNOR=4_posi;p17a_ACL=4_s;p17b_FACL=4_s;p17c_ABAC=4_s;p17d_FACC=4_s;p17e_AMAC=4_s;p17f_OLCC=4_s;p17g_OLCM=4_s;p18_AML=2_si;p19_LEY=2_voluncol;p22a_ACPAR=3_s;p22b_ACLYV=3_s;p22c_ACOVC=3_s;p26_ARMA=4_desac
2177;Bogota;Bajo;Femenino;Modalité n° 40;2 Secundaria;p16_PNOR=4_posi;p17a_ACL=3_cs;p17b_FACL=3_cs;p17c_ABAC=2_cn;p17d_FACC=3_cs;p17e_AMAC=3_cs;p17f_OLCC=3_cs;p17g_OLCM=3_cs;p18_AML=2_si;p19_LEY=2_voluncol;p22a_ACPAR=2_av;p22b_ACLYV=2_av;p22c_ACOVC=2_av;p26_ARMA=5_comdesac
2786;Bogota;Bajo;Masculino;Modalité n° 39;2 Secundaria;p16_PNOR=2_neg;p17a_ACL=3_cs;p17b_FACL=3_cs;p17c_ABAC=2_cn;p17d_FACC=4_s;p17e_AMAC=4_s;p17f_OLCC=2_cn;p17g_OLCM=2_cn;p18_AML=2_si;p19_LEY=1_obpocos;p22a_ACPAR=3_s;p22b_ACLYV=3_s;p22c_ACOVC=2_av;p26_ARMA=2_acu
2610;Bogota;Bajo;Femenino;Modalité n° 42;2 Secundaria;p16_PNOR=4_posi;p17a_ACL=3_cs;p17b_FACL=3_cs;p17c_ABAC=3_cs;p17d_FACC=4_s;p17e_AMAC=3_cs;p17f_OLCC=4_s;p17g_OLCM=4_s;p18_AML=2_si;p19_LEY=2_voluncol;p22a_ACPAR=3_s;p22b_ACLYV=3_s;p22c_ACOVC=2_av;p26_ARMA=5_comdesac
109;Bogota;Medio;Masculino;Modalité n° 45;2 Secundaria; ;p17a_ACL=3_cs;p17b_FACL=3_cs;p17c_ABAC=1_n;p17d_FACC=4_s;p17e_AMAC=1_n;p17f_OLCC=1_n;p17g_OLCM=3_cs;p18_AML=1_no;p19_LEY=1_obpocos;p22a_ACPAR=2_av;p22b_ACLYV=3_s;p22c_ACOVC=3_s;p26_ARMA=2_acu
174;Bogota;Medio;Masculino;Modalité n° 17;2 Secundaria;p16_PNOR=4_posi;p17a_ACL=3_cs;p17b_FACL=3_cs;p17c_ABAC=3_cs;p17d_FACC=4_s;p17e_AMAC=3_cs;p17f_OLCC=1_n;p17g_OLCM=2_cn;p18_AML=2_si;p19_LEY=1_obpocos;p22a_ACPAR=3_s;p22b_ACLYV=3_s;p22c_ACOVC=2_av;p26_ARMA=2_acu
233;Bogota;Bajo;Femenino;Modalité n° 21;2 Secundaria;p16_PNOR=4_posi;p17a_ACL=1_n;p17b_FACL=3_cs;p17c_ABAC=1_n;p17d_FACC=4_s;p17e_AMAC=1_n;p17f_OLCC=1_n;p17g_OLCM=1_n;p18_AML=2_si;p19_LEY=1_obpocos;p22a_ACPAR=3_s;p22b_ACLYV=3_s;p22c_ACOVC=3_s;p26_ARMA=3_ind
258;Bogota;Bajo;Masculino;Modalité n° 22;2 Secundaria;p16_PNOR=4_posi;p17a_ACL=4_s;p17b_FACL=4_s;p17c_ABAC=3_cs;p17d_FACC=4_s;p17e_AMAC=4_s;p17f_OLCC=3_cs;p17g_OLCM=3_cs;p18_AML=2_si;p19_LEY=1_obpocos;p22a_ACPAR=3_s;p22b_ACLYV=3_s;p22c_ACOVC=3_s;p26_ARMA=5_comdesac
378;Bogota;Medio;Masculino;Modalité n° 35;2 Secundaria; ;p17a_ACL=3_cs;p17b_FACL=3_cs;p17c_ABAC=4_s;p17d_FACC=4_s;p17e_AMAC=4_s;p17f_OLCC=4_s;p17g_OLCM=4_s;p18_AML=2_si;p19_LEY=2_voluncol;p22a_ACPAR=3_s;p22b_ACLYV=3_s;p22c_ACOVC=3_s;p26_ARMA=4_desac
399;Bogota;Bajo;Femenino;Modalité n° 17;2 Secundaria;p16_PNOR=4_posi;p17a_ACL=4_s;p17b_FACL=4_s;p17c_ABAC=2_cn;p17d_FACC=3_cs;p17e_AMAC=4_s;p17f_OLCC=3_cs;p17g_OLCM=3_cs;p18_AML=2_si;p19_LEY=1_obpocos;p22a_ACPAR=3_s;p22b_ACLYV=3_s;p22c_ACOVC=3_s;p26_ARMA=4_desac
405;Bogota;Bajo;Femenino;Modalité n° 31;2 Secundaria;p16_PNOR=5_muypos;p17a_ACL=4_s;p17b_FACL=4_s;p17c_ABAC=4_s;p17d_FACC=4_s;p17e_AMAC=4_s;p17f_OLCC=2_cn;p17g_OLCM=2_cn;p18_AML=2_si;p19_LEY=2_voluncol;p22a_ACPAR=2_av;p22b_ACLYV=2_av;p22c_ACOVC=3_s;p26_ARMA=4_desac
764;Bogota;Bajo;Femenino;Modalité n° 63;2 Secundaria;p16_PNOR=4_posi;p17a_ACL=4_s;p17b_FACL=3_cs;p17c_ABAC=3_cs;p17d_FACC=4_s;p17e_AMAC=4_s;p17f_OLCC=2_cn;p17g_OLCM=3_cs;p18_AML=2_si;p19_LEY=2_voluncol;p22a_ACPAR=2_av;p22b_ACLYV=3_s;p22c_ACOVC=3_s;p26_ARMA=5_comdesac
804;Bogota;Medio;Femenino;Modalité n° 35;2 Secundaria;p16_PNOR=4_posi;p17a_ACL=3_cs;p17b_FACL=3_cs;p17c_ABAC=3_cs;p17d_FACC=4_s;p17e_AMAC=4_s;p17f_OLCC=2_cn;p17g_OLCM=2_cn;p18_AML=2_si;p19_LEY=2_voluncol;p22a_ACPAR=2_av;p22b_ACLYV=2_av;p22c_ACOVC=2_av;p26_ARMA=5_comdesac
948;Bogota;Bajo;Masculino;Modalité n° 16;2 Secundaria;p16_PNOR=4_posi;p17a_ACL=1_n;p17b_FACL=3_cs;p17c_ABAC=3_cs;p17d_FACC=1_n;p17e_AMAC=4_s;p17f_OLCC=1_n;p17g_OLCM=1_n;p18_AML=2_si;p19_LEY=1_obpocos;p22a_ACPAR=3_s;p22b_ACLYV=3_s;p22c_ACOVC=1_n;p26_ARMA=4_desac
953;Bogota;Medio;Masculino;Modalité n° 15;2 Secundaria;p16_PNOR=4_posi;p17a_ACL=3_cs;p17b_FACL=3_cs;p17c_ABAC=4_s;p17d_FACC=3_cs;p17e_AMAC=4_s;p17f_OLCC=2_cn;p17g_OLCM=3_cs;p18_AML=1_no;p19_LEY=2_voluncol;p22a_ACPAR=2_av;p22b_ACLYV=3_s;p22c_ACOVC=2_av;p26_ARMA=5_comdesac
1118;Bogota;Bajo;Masculino;Modalité n° 16;2 Secundaria;p16_PNOR=4_posi;p17a_ACL=2_cn;p17b_FACL=3_cs;p17c_ABAC=3_cs;p17d_FACC=3_cs;p17e_AMAC=3_cs;p17f_OLCC=2_cn;p17g_OLCM=3_cs;p18_AML=2_si;p19_LEY=2_voluncol;p22a_ACPAR=2_av;p22b_ACLYV=2_av;p22c_ACOVC=2_av;p26_ARMA=5_comdesac
1162;Bogota;Bajo;Femenino;Modalité n° 24;2 Secundaria;p16_PNOR=4_posi;p17a_ACL=4_s;p17b_FACL=3_cs;p17c_ABAC=2_cn;p17d_FACC=4_s;p17e_AMAC=1_n;p17f_OLCC=4_s;p17g_OLCM=4_s;p18_AML=1_no;p19_LEY=2_voluncol;p22a_ACPAR=2_av;p22b_ACLYV=2_av;p22c_ACOVC=2_av;p26_ARMA=2_acu
1300;Bogota;Bajo;Femenino;Modalité n° 15;2 Secundaria;p16_PNOR=4_posi;p17a_ACL=1_n;p17b_FACL=2_cn;p17c_ABAC=4_s;p17d_FACC=4_s;p17e_AMAC=4_s;p17f_OLCC=2_cn;p17g_OLCM=4_s;p18_AML=1_no;p19_LEY=1_obpocos;p22a_ACPAR=2_av;p22b_ACLYV=2_av;p22c_ACOVC=2_av;p26_ARMA=4_desac
1446;Bogota;Bajo;Femenino;Modalité n° 17;2 Secundaria;p16_PNOR=4_posi;p17a_ACL=4_s;p17b_FACL=4_s;p17c_ABAC=4_s;p17d_FACC=4_s;p17e_AMAC=4_s;p17f_OLCC=4_s;p17g_OLCM=4_s;p18_AML=2_si;p19_LEY=2_voluncol;p22a_ACPAR=3_s;p22b_ACLYV=3_s;p22c_ACOVC=3_s;p26_ARMA=5_comdesac
1473;Bogota;Bajo;Femenino;Modalité n° 20;2 Secundaria;p16_PNOR=5_muypos;p17a_ACL=4_s;p17b_FACL=4_s;p17c_ABAC=1_n;p17d_FACC=4_s;p17e_AMAC=4_s;p17f_OLCC=2_cn;p17g_OLCM=2_cn;p18_AML=1_no;p19_LEY=1_obpocos;p22a_ACPAR=3_s;p22b_ACLYV=3_s;p22c_ACOVC=2_av;p26_ARMA=4_desac
1496;Bogota;Bajo;Femenino;Modalité n° 27;2 Secundaria;p16_PNOR=4_posi;p17a_ACL=4_s;p17b_FACL=4_s;p17c_ABAC=3_cs;p17d_FACC=4_s;p17e_AMAC=4_s;p17f_OLCC=4_s;p17g_OLCM=4_s;p18_AML=2_si;p19_LEY=2_voluncol;p22a_ACPAR=3_s;p22b_ACLYV=3_s;p22c_ACOVC=3_s;p26_ARMA=4_desac
1640;Bogota;Medio;Femenino;Modalité n° 14;2 Secundaria;p16_PNOR=4_posi;p17a_ACL=2_cn;p17b_FACL=3_cs;p17c_ABAC=3_cs;p17d_FACC=3_cs;p17e_AMAC=3_cs;p17f_OLCC=3_cs;p17g_OLCM=3_cs;p18_AML=2_si;p19_LEY=1_obpocos;p22a_ACPAR=2_av;p22b_ACLYV=2_av;p22c_ACOVC=2_av;p26_ARMA=2_acu
1663;Bogota;Bajo;Masculino;Modalité n° 21;2 Secundaria;p16_PNOR=4_posi;p17a_ACL=3_cs;p17b_FACL=4_s;p17c_ABAC=3_cs;p17d_FACC=3_cs;p17e_AMAC=4_s;p17f_OLCC=4_s;p17g_OLCM=3_cs;p18_AML=2_si;p19_LEY=2_voluncol;p22a_ACPAR=3_s;p22b_ACLYV=3_s;p22c_ACOVC=3_s;p26_ARMA=5_comdesac
1761;Bogota;Medio;Femenino;Modalité n° 15;2 Secundaria;p16_PNOR=4_posi;p17a_ACL=4_s;p17b_FACL=4_s;p17c_ABAC=2_cn;p17d_FACC=2_cn;p17e_AMAC=4_s;p17f_OLCC=3_cs;p17g_OLCM=3_cs;p18_AML=2_si;p19_LEY=2_voluncol;p22a_ACPAR=2_av;p22b_ACLYV=3_s;p22c_ACOVC=1_n;p26_ARMA=5_comdesac
1814;Bogota;Bajo;Masculino;Modalité n° 69;2 Secundaria; ;p17a_ACL=4_s;p17b_FACL=3_cs;p17c_ABAC=2_cn;p17d_FACC=4_s;p17e_AMAC=3_cs;p17f_OLCC=3_cs;p17g_OLCM=3_cs;p18_AML=2_si;p19_LEY=2_voluncol;p22a_ACPAR=3_s;p22b_ACLYV=3_s;p22c_ACOVC=3_s;p26_ARMA=1_comacu
2008;Bogota;Bajo;Femenino;Modalité n° 25;2 Secundaria;p16_PNOR=4_posi;p17a_ACL=2_cn;p17b_FACL=1_n;p17c_ABAC=1_n;p17d_FACC=4_s;p17e_AMAC=4_s;p17f_OLCC=2_cn;p17g_OLCM=3_cs;p18_AML=2_si;p19_LEY=1_obpocos;p22a_ACPAR=3_s;p22b_ACLYV=1_n;p22c_ACOVC=3_s;p26_ARMA=4_desac
2491;Bogota;Bajo;Masculino;Modalité n° 35;2 Secundaria;p16_PNOR=4_posi;p17a_ACL=3_cs;p17b_FACL=4_s;p17c_ABAC=1_n;p17d_FACC=4_s;p17e_AMAC=4_s;p17f_OLCC=1_n;p17g_OLCM=3_cs;p18_AML=2_si;p19_LEY=2_voluncol;p22a_ACPAR=3_s;p22b_ACLYV=3_s;p22c_ACOVC=3_s;p26_ARMA=4_desac
2842;Bogota;Bajo;Femenino;Modalité n° 17;2 Secundaria;p16_PNOR=1_muyneg;p17a_ACL=1_n;p17b_FACL=1_n;p17c_ABAC=1_n;p17d_FACC=4_s;p17e_AMAC=1_n;p17f_OLCC=1_n;p17g_OLCM=1_n;p18_AML=2_si;p19_LEY=2_voluncol;p22a_ACPAR=2_av;p22b_ACLYV=1_n;p22c_ACOVC=2_av;p26_ARMA=5_comdesac
2874;Bogota;Bajo;Masculino;Modalité n° 31;2 Secundaria;p16_PNOR=4_posi;p17a_ACL=3_cs;p17b_FACL=3_cs;p17c_ABAC=4_s;p17d_FACC=4_s;p17e_AMAC=4_s;p17f_OLCC=3_cs;p17g_OLCM=2_cn;p18_AML=1_no;p19_LEY=2_voluncol;p22a_ACPAR=3_s;p22b_ACLYV=3_s;p22c_ACOVC=2_av;p26_ARMA=4_desac
2893;Bogota;Medio;Masculino;Modalité n° 15;2 Secundaria;p16_PNOR=4_posi;p17a_ACL=4_s;p17b_FACL=4_s;p17c_ABAC=4_s;p17d_FACC=4_s;p17e_AMAC=4_s;p17f_OLCC=3_cs;p17g_OLCM=2_cn;p18_AML=2_si;p19_LEY=2_voluncol;p22a_ACPAR=2_av;p22b_ACLYV=3_s;p22c_ACOVC=2_av;p26_ARMA=2_acu
2995;Bogota;Bajo;Femenino;Modalité n° 17;2 Secundaria;p16_PNOR=5_muypos;p17a_ACL=3_cs;p17b_FACL=4_s;p17c_ABAC=3_cs;p17d_FACC=3_cs;p17e_AMAC=4_s;p17f_OLCC=2_cn;p17g_OLCM=4_s;p18_AML=2_si;p19_LEY=2_voluncol;p22a_ACPAR=3_s;p22b_ACLYV=3_s;p22c_ACOVC=3_s;p26_ARMA=5_comdesac
3015;Bogota;Bajo;Femenino;Modalité n° 29;2 Secundaria;p16_PNOR=4_posi;p17a_ACL=3_cs;p17b_FACL=3_cs;p17c_ABAC=2_cn;p17d_FACC=4_s;p17e_AMAC=4_s;p17f_OLCC=4_s;p17g_OLCM=4_s;p18_AML=2_si;p19_LEY=2_voluncol;p22a_ACPAR=3_s;p22b_ACLYV=3_s;p22c_ACOVC=3_s;p26_ARMA=3_ind
3090;Bogota;Medio;Femenino;Modalité n° 51;2 Secundaria;p16_PNOR=4_posi;p17a_ACL=3_cs;p17b_FACL=3_cs;p17c_ABAC=4_s;p17d_FACC=3_cs;p17e_AMAC=4_s;p17f_OLCC=3_cs;p17g_OLCM=3_cs;p18_AML=2_si;p19_LEY=2_voluncol;p22a_ACPAR=3_s;p22b_ACLYV=2_av;p22c_ACOVC=2_av;p26_ARMA=4_desac
3114;Bogota;Bajo;Femenino;Modalité n° 22;2 Secundaria;p16_PNOR=4_posi;p17a_ACL=3_cs;p17b_FACL=3_cs;p17c_ABAC=4_s;p17d_FACC=3_cs;p17e_AMAC=4_s;p17f_OLCC=3_cs;p17g_OLCM=3_cs;p18_AML=2_si;p19_LEY=1_obpocos;p22a_ACPAR=3_s;p22b_ACLYV=3_s;p22c_ACOVC=2_av;p26_ARMA=4_desac
3200;Bogota;Bajo;Femenino;Modalité n° 14;2 Secundaria;p16_PNOR=5_muypos;p17a_ACL=3_cs;p17b_FACL=3_cs;p17c_ABAC=1_n;p17d_FACC=4_s; ;p17f_OLCC=2_cn;p17g_OLCM=2_cn;p18_AML=2_si;p19_LEY=1_obpocos;p22a_ACPAR=3_s;p22b_ACLYV=3_s;p22c_ACOVC=3_s;p26_ARMA=5_comdesac
3274;Bogota;Medio;Femenino;Modalité n° 18;2 Secundaria;p16_PNOR=4_posi;p17a_ACL=4_s;p17b_FACL=4_s;p17c_ABAC=4_s;p17d_FACC=1_n;p17e_AMAC=4_s;p17f_OLCC=4_s;p17g_OLCM=4_s;p18_AML=2_si;p19_LEY=1_obpocos;p22a_ACPAR=3_s;p22b_ACLYV=3_s;p22c_ACOVC=2_av;p26_ARMA=4_desac
3467;Bogota;Bajo;Masculino;Modalité n° 15;2 Secundaria;p16_PNOR=4_posi;p17a_ACL=4_s;p17b_FACL=3_cs;p17c_ABAC=4_s;p17d_FACC=3_cs;p17e_AMAC=3_cs;p17f_OLCC=2_cn; ;p18_AML=2_si;p19_LEY=2_voluncol;p22a_ACPAR=3_s;p22b_ACLYV=3_s;p22c_ACOVC=2_av;p26_ARMA=4_desac
2172;Bogota;Bajo;Masculino;Modalité n° 46;2 Secundaria;p16_PNOR=4_posi;p17a_ACL=4_s;p17b_FACL=4_s;p17c_ABAC=4_s;p17d_FACC=4_s;p17e_AMAC=4_s;p17f_OLCC=3_cs;p17g_OLCM=3_cs;p18_AML=2_si;p19_LEY=2_voluncol;p22a_ACPAR=2_av;p22b_ACLYV=1_n;p22c_ACOVC=1_n;p26_ARMA=2_acu
3243;Bogota;Bajo;Masculino;Modalité n° 18;2 Secundaria;p16_PNOR=4_posi;p17a_ACL=3_cs;p17b_FACL=3_cs;p17c_ABAC=3_cs;p17d_FACC=3_cs;p17e_AMAC=3_cs;p17f_OLCC=3_cs;p17g_OLCM=3_cs;p18_AML=1_no;p19_LEY=1_obpocos;p22a_ACPAR=3_s;p22b_ACLYV=3_s;p22c_ACOVC=2_av;p26_ARMA=4_desac
126;Bogota;Medio;Femenino;Modalité n° 16;2 Secundaria;p16_PNOR=4_posi;p17a_ACL=4_s;p17b_FACL=4_s;p17c_ABAC=4_s;p17d_FACC=3_cs;p17e_AMAC=3_cs;p17f_OLCC=3_cs;p17g_OLCM=4_s;p18_AML=2_si;p19_LEY=2_voluncol;p22a_ACPAR=2_av;p22b_ACLYV=3_s;p22c_ACOVC=1_n;p26_ARMA=1_comacu
165;Bogota;Bajo;Masculino;Modalité n° 15;2 Secundaria;p16_PNOR=4_posi;p17a_ACL=2_cn;p17b_FACL=2_cn;p17c_ABAC=3_cs;p17d_FACC=2_cn;p17e_AMAC=3_cs;p17f_OLCC=3_cs;p17g_OLCM=2_cn;p18_AML=2_si;p19_LEY=1_obpocos;p22a_ACPAR=2_av;p22b_ACLYV=1_n;p22c_ACOVC=3_s;p26_ARMA=4_desac
249;Bogota;Medio;Femenino;Modalité n° 79;2 Secundaria;p16_PNOR=4_posi;p17a_ACL=4_s;p17b_FACL=4_s;p17c_ABAC=4_s;p17d_FACC=4_s;p17e_AMAC=3_cs;p17f_OLCC=3_cs;p17g_OLCM=2_cn;p18_AML=1_no;p19_LEY=2_voluncol;p22a_ACPAR=1_n;p22b_ACLYV=2_av;p22c_ACOVC=2_av;p26_ARMA=4_desac
250;Bogota;Medio;Masculino;Modalité n° 48;2 Secundaria;p16_PNOR=4_posi;p17a_ACL=3_cs;p17b_FACL=3_cs;p17c_ABAC=3_cs;p17d_FACC=3_cs;p17e_AMAC=4_s;p17f_OLCC=3_cs;p17g_OLCM=3_cs;p18_AML=2_si;p19_LEY=2_voluncol;p22a_ACPAR=3_s;p22b_ACLYV=3_s;p22c_ACOVC=3_s;p26_ARMA=5_comdesac
269;Bogota;Bajo;Femenino;Modalité n° 40;2 Secundaria;p16_PNOR=4_posi;p17a_ACL=4_s;p17b_FACL=4_s;p17c_ABAC=4_s;p17d_FACC=4_s;p17e_AMAC=4_s;p17f_OLCC=4_s;p17g_OLCM=4_s;p18_AML=2_si;p19_LEY=2_voluncol;p22a_ACPAR=3_s;p22b_ACLYV=3_s;p22c_ACOVC=3_s;p26_ARMA=5_comdesac
295;Bogota;Medio;Femenino;Modalité n° 80;2 Secundaria;p16_PNOR=4_posi;p17a_ACL=3_cs;p17b_FACL=3_cs;p17c_ABAC=1_n;p17d_FACC=4_s;p17e_AMAC=4_s;p17f_OLCC=4_s;p17g_OLCM=4_s;p18_AML=1_no;p19_LEY=2_voluncol;p22a_ACPAR=3_s;p22b_ACLYV=3_s;p22c_ACOVC=3_s;p26_ARMA=5_comdesac
308;Bogota;Bajo;Femenino;Modalité n° 62;2 Secundaria; ;p17a_ACL=2_cn;p17b_FACL=4_s;p17c_ABAC=4_s;p17d_FACC=4_s;p17e_AMAC=3_cs;p17f_OLCC=1_n;p17g_OLCM=4_s;p18_AML=2_si;p19_LEY=1_obpocos;p22a_ACPAR=3_s;p22b_ACLYV=2_av;p22c_ACOVC=2_av;p26_ARMA=4_desac
357;Bogota;Medio;Femenino;Modalité n° 58;2 Secundaria;p16_PNOR=4_posi;p17a_ACL=3_cs;p17b_FACL=3_cs;p17c_ABAC=3_cs;p17d_FACC=3_cs;p17e_AMAC=3_cs;p17f_OLCC=3_cs;p17g_OLCM=3_cs;p18_AML=2_si;p19_LEY=2_voluncol;p22a_ACPAR=2_av;p22b_ACLYV=2_av;p22c_ACOVC=2_av;p26_ARMA=5_comdesac
448;Bogota;Medio;Femenino;Modalité n° 53;2 Secundaria;p16_PNOR=4_posi;p17a_ACL=4_s;p17b_FACL=3_cs;p17c_ABAC=4_s;p17d_FACC=3_cs;p17e_AMAC=4_s;p17f_OLCC=3_cs;p17g_OLCM=4_s;p18_AML=2_si;p19_LEY=2_voluncol;p22a_ACPAR=3_s;p22b_ACLYV=3_s;p22c_ACOVC=3_s;p26_ARMA=4_desac
468;Bogota;Bajo;Femenino;Modalité n° 26;2 Secundaria;p16_PNOR=4_posi;p17a_ACL=4_s;p17b_FACL=4_s;p17c_ABAC=4_s;p17d_FACC=4_s;p17e_AMAC=4_s;p17f_OLCC=3_cs;p17g_OLCM=3_cs;p18_AML=2_si;p19_LEY=2_voluncol;p22a_ACPAR=3_s;p22b_ACLYV=3_s;p22c_ACOVC=3_s;p26_ARMA=5_comdesac
549;Bogota;Medio;Femenino;Modalité n° 18;2 Secundaria;p16_PNOR=4_posi;p17a_ACL=4_s;p17b_FACL=4_s;p17c_ABAC=4_s;p17d_FACC=4_s;p17e_AMAC=4_s;p17f_OLCC=2_cn;p17g_OLCM=1_n;p18_AML=2_si;p19_LEY=2_voluncol;p22a_ACPAR=2_av;p22b_ACLYV=2_av;p22c_ACOVC=2_av;p26_ARMA=4_desac
574;Bogota;Medio;Masculino;Modalité n° 17;2 Secundaria;p16_PNOR=4_posi;p17a_ACL=2_cn;p17b_FACL=3_cs;p17c_ABAC=1_n;p17d_FACC=4_s;p17e_AMAC=4_s;p17f_OLCC=1_n;p17g_OLCM=1_n;p18_AML=2_si;p19_LEY=1_obpocos;p22a_ACPAR=2_av;p22b_ACLYV=2_av;p22c_ACOVC=2_av;p26_ARMA=4_desac
599;Bogota;Bajo;Femenino;Modalité n° 17;2 Secundaria;p16_PNOR=4_posi;p17a_ACL=3_cs;p17b_FACL=4_s;p17c_ABAC=3_cs; ;p17e_AMAC=3_cs;p17f_OLCC=3_cs;p17g_OLCM=4_s;p18_AML=2_si;p19_LEY=2_voluncol;p22a_ACPAR=1_n;p22b_ACLYV=1_n;p22c_ACOVC=1_n;p26_ARMA=4_desac
618;Bogota;Bajo;Masculino;Modalité n° 34;2 Secundaria;p16_PNOR=5_muypos;p17a_ACL=3_cs;p17b_FACL=4_s;p17c_ABAC=4_s;p17d_FACC=4_s;p17e_AMAC=4_s;p17f_OLCC=4_s;p17g_OLCM=4_s;p18_AML=2_si;p19_LEY=1_obpocos;p22a_ACPAR=3_s;p22b_ACLYV=3_s;p22c_ACOVC=3_s;p26_ARMA=5_comdesac
643;Bogota;Bajo;Femenino;Modalité n° 23;2 Secundaria;p16_PNOR=4_posi;p17a_ACL=4_s;p17b_FACL=3_cs;p17c_ABAC=2_cn;p17d_FACC=3_cs;p17e_AMAC=2_cn;p17f_OLCC=4_s;p17g_OLCM=3_cs;p18_AML=1_no;p19_LEY=2_voluncol;p22a_ACPAR=3_s;p22b_ACLYV=3_s;p22c_ACOVC=2_av;p26_ARMA=5_comdesac
687;Bogota;Bajo;Femenino;Modalité n° 17;2 Secundaria;p16_PNOR=4_posi;p17a_ACL=3_cs;p17b_FACL=3_cs;p17c_ABAC=3_cs;p17d_FACC=4_s;p17e_AMAC=4_s;p17f_OLCC=3_cs;p17g_OLCM=1_n;p18_AML=2_si;p19_LEY=2_voluncol;p22a_ACPAR=2_av;p22b_ACLYV=3_s;p22c_ACOVC=2_av;p26_ARMA=5_comdesac
692;Bogota;Bajo;Femenino;Modalité n° 42;2 Secundaria;p16_PNOR=4_posi;p17a_ACL=3_cs;p17b_FACL=3_cs;p17c_ABAC=1_n;p17d_FACC=4_s;p17e_AMAC=4_s;p17f_OLCC=4_s;p17g_OLCM=4_s;p18_AML=2_si;p19_LEY=2_voluncol;p22a_ACPAR=3_s;p22b_ACLYV=3_s;p22c_ACOVC=2_av;p26_ARMA=4_desac
712;Bogota;Medio;Femenino;Modalité n° 20;2 Secundaria;p16_PNOR=4_posi;p17a_ACL=3_cs;p17b_FACL=3_cs;p17c_ABAC=4_s;p17d_FACC=4_s;p17e_AMAC=4_s;p17f_OLCC=4_s;p17g_OLCM=1_n;p18_AML=1_no;p19_LEY=2_voluncol;p22a_ACPAR=2_av;p22b_ACLYV=2_av;p22c_ACOVC=2_av;p26_ARMA=4_desac
722;Bogota;Bajo;Femenino;Modalité n° 18;2 Secundaria;p16_PNOR=4_posi;p17a_ACL=1_n;p17b_FACL=1_n;p17c_ABAC=1_n;p17d_FACC=2_cn;p17e_AMAC=1_n;p17f_OLCC=2_cn;p17g_OLCM=1_n;p18_AML=1_no;p19_LEY=1_obpocos;p22a_ACPAR=2_av;p22b_ACLYV=3_s;p22c_ACOVC=3_s;p26_ARMA=2_acu
